year,retro_id,lahman_id,bbr_id,city,team,name
1976,NYN,NYN,NYM,New York,Mets,New York Mets
1976,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1976,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1976,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1976,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1976,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1976,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1976,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1977,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1977,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1977,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1977,CAL,CAL,CAL,California,Angels,California Angels
1977,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1977,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1977,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1977,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1977,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1977,HOU,HOU,HOU,Houston,Astros,Houston Astros
1977,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1977,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1977,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1977,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1977,MON,MON,MON,Montreal,Expos,Montreal Expos
1977,NYA,NYA,NYY,New York,Yankees,New York Yankees
1977,NYN,NYN,NYM,New York,Mets,New York Mets
1977,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1977,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1977,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1977,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1977,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1977,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1977,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1977,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1977,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1978,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1978,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1978,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1978,CAL,CAL,CAL,California,Angels,California Angels
1978,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1978,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1978,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1978,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1978,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1978,HOU,HOU,HOU,Houston,Astros,Houston Astros
1978,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1978,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1978,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1978,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1978,MON,MON,MON,Montreal,Expos,Montreal Expos
1978,NYA,NYA,NYY,New York,Yankees,New York Yankees
1978,NYN,NYN,NYM,New York,Mets,New York Mets
1978,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1978,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1978,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1978,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1978,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1978,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1978,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1978,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1978,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1979,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1979,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1979,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1979,CAL,CAL,CAL,California,Angels,California Angels
1979,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1979,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1979,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1979,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1979,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1979,HOU,HOU,HOU,Houston,Astros,Houston Astros
1979,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1979,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1979,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1979,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1979,MON,MON,MON,Montreal,Expos,Montreal Expos
1979,NYA,NYA,NYY,New York,Yankees,New York Yankees
1979,NYN,NYN,NYM,New York,Mets,New York Mets
1979,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1979,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1979,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1979,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1979,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1979,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1979,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1979,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1979,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1980,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1980,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1980,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1980,CAL,CAL,CAL,California,Angels,California Angels
1980,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1980,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1980,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1980,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1980,DET,DET,DET,Detroit,Tigers,Detroit Tigers
1980,HOU,HOU,HOU,Houston,Astros,Houston Astros
1980,KCA,KCA,KCR,Kansas City,Royals,Kansas City Royals
1980,LAN,LAN,LAD,Los Angeles,Dodgers,Los Angeles Dodgers
1980,MIL,ML4,MIL,Milwaukee,Brewers,Milwaukee Brewers
1980,MIN,MIN,MIN,Minnesota,Twins,Minnesota Twins
1980,MON,MON,MON,Montreal,Expos,Montreal Expos
1980,NYA,NYA,NYY,New York,Yankees,New York Yankees
1980,NYN,NYN,NYM,New York,Mets,New York Mets
1980,OAK,OAK,OAK,Oakland,Athletics,Oakland Athletics
1980,PHI,PHI,PHI,Philadelphia,Phillies,Philadelphia Phillies
1980,PIT,PIT,PIT,Pittsburgh,Pirates,Pittsburgh Pirates
1980,SDN,SDN,SDP,San Diego,Padres,San Diego Padres
1980,SEA,SEA,SEA,Seattle,Mariners,Seattle Mariners
1980,SFN,SFN,SFG,San Francisco,Giants,San Francisco Giants
1980,SLN,SLN,STL,St. Louis,Cardinals,St. Louis Cardinals
1980,TEX,TEX,TEX,Texas,Rangers,Texas Rangers
1980,TOR,TOR,TOR,Toronto,Blue Jays,Toronto Blue Jays
1981,ATL,ATL,ATL,Atlanta,Braves,Atlanta Braves
1981,BAL,BAL,BAL,Baltimore,Orioles,Baltimore Orioles
1981,BOS,BOS,BOS,Boston,Red Sox,Boston Red Sox
1981,CAL,CAL,CAL,California,Angels,California Angels
1981,CHA,CHA,CHW,Chicago,White Sox,Chicago White Sox
1981,CHN,CHN,CHC,Chicago,Cubs,Chicago Cubs
1981,CIN,CIN,CIN,Cincinnati,Reds,Cincinnati Reds
1981,CLE,CLE,CLE,Cleveland,Indians,Cleveland Indians
1981,DET,DET,DET,Detroit,Tigers,Detroit Tigers
