year,team,player
1964,LAA,SATRT101
1964,LAA,SCHAP101
1964,LAA,SIMPD102
1964,LAA,SMITW102
1964,LAA,SPRIJ102
1964,LAA,SUKLE101
1964,LAA,THOML103
1964,LAA,TORRF101
1964,LAN,BREWJ102
1964,LAN,CAMID101
1964,LAN,CRAWW101
1964,LAN,DAVIT103
1964,LAN,DAVIW102
1964,LAN,DRYSD101
1964,LAN,FAIRR101
1964,LAN,GILLJ102
1964,LAN,GRIFD102
1964,LAN,HOWAF102
1964,LAN,KOUFS101
1964,LAN,MCMUK101
1964,LAN,MILLB106
1964,LAN,MILLL101
1964,LAN,MOELJ101
1964,LAN,MOONW101
1964,LAN,OLIVN101
1964,LAN,ORTEP101
1964,LAN,PARKW101
1964,LAN,PERRR101
1964,LAN,PODRJ101
1964,LAN,PURDJ101
1964,LAN,REEDH102
1964,LAN,RICHP102
1964,LAN,ROSEJ101
1964,LAN,SHIRB101
1964,LAN,SINGB101
1964,LAN,TORBJ101
1964,LAN,TRACD101
1964,LAN,WALLL101
1964,LAN,WERHJ101
1964,LAN,WILLM102
1964,LAN,WILLN101
1964,MIN,ALLEB105
1964,MIN,ALLIB103
1964,MIN,ARRIG101
1964,MIN,BANKG101
1964,MIN,BATTE101
1964,MIN,BETHB101
1964,MIN,BLOOB101
1964,MIN,BOSWD101
1964,MIN,DAILB101
1964,MIN,DOTTG101
1964,MIN,FISCB101
1964,MIN,FOSNJ101
1964,MIN,GORYJ101
1964,MIN,GRANJ101
1964,MIN,GREEL101
1964,MIN,HALLJ107
1964,MIN,HENRR101
1964,MIN,KAATJ101
1964,MIN,KILLH102
1964,MIN,KINDJ101
1964,MIN,KLIPJ101
1964,MIN,KOSTF101
1964,MIN,MCCAJ108
1964,MIN,MINCD101
1964,MIN,NIESC101
1964,MIN,NOSSJ101
1964,MIN,OLIVT102
1964,MIN,PASCC102
1964,MIN,PERRJ102
1964,MIN,PLEIB101
1964,MIN,POWEV101
1964,MIN,REESR101
1964,MIN,ROLAJ101
1964,MIN,ROLLR101
1964,MIN,SHIFG101
1964,MIN,SIEBD101
1964,MIN,SNYDJ103
1964,MIN,STANL101
1964,MIN,STIGD101
1964,MIN,VERSZ101
1964,MIN,WARDJ103
1964,MIN,WHITB108
1964,MIN,WORTA101
1964,MIN,ZIMMJ101
1964,MLN,AAROH101
1964,MLN,ALOMS101
1964,MLN,ALOUF101
1964,MLN,BAILE101
1964,MLN,BELLG103
1964,MLN,BLACE103
1964,MLN,BLASW101
1964,MLN,BOLLF101
1964,MLN,BRAUJ101
1964,MLN,BUTLC102
1964,MLN,CARRC103
1964,MLN,CARTR101
1964,MLN,CLINT101
1964,MLN,CLONT101
1964,MLN,DELAM101
1964,MLN,EILED101
1964,MLN,FISCH101
1964,MLN,GABRL102
1964,MLN,HOEFB101
1964,MLN,KELLD102
1964,MLN,KLIML101
1964,MLN,KOLBG101
1964,MLN,LARYF101
1964,MLN,LEMAD102
1964,MLN,MATHE101
1964,MLN,MAYEL101
1964,MLN,MCMIR101
1964,MLN,MENKD101
1964,MLN,NIEKP001
1964,MLN,OLIVC101
1964,MLN,OLIVG101
1964,MLN,RANEM101
1964,MLN,ROOFP101
1964,MLN,SADOB102
1964,MLN,SCHND101
1964,MLN,SMITJ109
1964,MLN,SOUTB102
1964,MLN,SPAHW101
1964,MLN,TIEFB101
1964,MLN,TORRJ101
1964,MLN,UMBAA101
1964,MLN,WOODW101
1964,NYA,BLANJ101
1964,NYA,BOUTJ101
1964,NYA,BOYEC102
1964,NYA,BRIGH101
1964,NYA,DALEB102
1964,NYA,DOWNA101
1964,NYA,FORDW101
1964,NYA,GIBBJ101
1964,NYA,GONZP101
1964,NYA,HAMIS101
1964,NYA,HEGAM101
1964,NYA,HOWAE101
1964,NYA,JIMEE101
1964,NYA,KUBET101
1964,NYA,LINZP101
1964,NYA,LOPEH101
1964,NYA,MANTM101
1964,NYA,MARIR101
1964,NYA,MEYEB102
1964,NYA,MIKKP101
1964,NYA,MOORA101
1964,NYA,PEPIJ101
1964,NYA,RAMOP101
1964,NYA,RENIH101
1964,NYA,REPOR101
1964,NYA,RICHB102
1964,NYA,SHELR101
1964,NYA,STAFB101
1964,NYA,STOTM101
1964,NYA,TERRR101
1964,NYA,TREST101
1964,NYA,WILLS102
1964,NYN,ALTMG101
1964,NYN,ANDEC101
1964,NYN,BAUTE101
1964,NYN,BEARL101
1964,NYN,BURRL101
1964,NYN,CANNC101
1964,NYN,CHRIJ101
1964,NYN,CISCG101
1964,NYN,DILLS102
1964,NYN,ELLIL101
1964,NYN,FISHJ101
1964,NYN,GONDJ101
1964,NYN,GRAHW101
1964,NYN,HARKT101
1964,NYN,HICKJ103
1964,NYN,HINSJ101
1964,NYN,HOOKJ101
1964,NYN,HUNTR101
1964,NYN,HUNTW102
1964,NYN,JACKA101
1964,NYN,KANER101
1964,NYN,KLAUB102
1964,NYN,KRANE101
1964,NYN,KROLG101
1964,NYN,LARYF101
1964,NYN,LOCKR101
1964,NYN,MCMIR101
1964,NYN,MORAA102
1964,NYN,PARST101
1964,NYN,RIBAD101
1964,NYN,SAMUA101
1964,NYN,SMITC105
1964,NYN,SMITD104
1964,NYN,STALT101
1964,NYN,STEPJ102
1964,NYN,STURT101
1964,NYN,SUTHD102
1964,NYN,TAYLH102
1964,NYN,THOMF103
1964,NYN,WAKEB101
1964,NYN,WILLC104
1964,PHI,ALLED101
1964,PHI,AMARR101
1964,PHI,BALDJ101
1964,PHI,BENND101
1964,PHI,BENND102
1964,PHI,BOOZJ101
1964,PHI,BRIGJ102
1964,PHI,BUNNJ101
1964,PHI,CALLJ101
1964,PHI,CATED101
1964,PHI,CORRP102
1964,PHI,COVIW101
1964,PHI,CULPR101
1964,PHI,DALRC101
1964,PHI,DURER101
1964,PHI,GONZT101
1964,PHI,GREED101
1964,PHI,HERRJ101
1964,PHI,HOAKD101
1964,PHI,JOHNA104
1964,PHI,KLIPJ101
1964,PHI,KROLG101
1964,PHI,LOCKB101
1964,PHI,MAHAA102
1964,PHI,MCLIC101
1964,PHI,PHILA101
1964,PHI,POWEV101
1964,PHI,ROEBE101
1964,PHI,ROJAC101
1964,PHI,SHANB102
1964,PHI,SHOCC101
1964,PHI,SHORC102
1964,PHI,SIEVR101
1964,PHI,STEEM101
1964,PHI,TAYLT101
1964,PHI,THOMF103
1964,PHI,TRIAG101
