player,fullname,firstname,lastname,suffix,givenname,nickname,matrilineal
SHUEP001,Paul Shuey,Paul,Shuey,,Paul Kenneth,,
SHUMA001,Anthony Shumaker,Anthony,Shumaker,,Anthony Warren,,
SHUMT001,Terry Shumpert,Terry,Shumpert,,Terrance Darnell,,
SIDDJ001,Joe Siddall,Joe,Siddall,,Joseph Todd,,
SIEBD101,Dwight Siebler,Dwight,Siebler,,Dwight Leroy,,
SIEBN101,Norm Siebern,Norm,Siebern,,Norman Leroy,,
SIEBP101,Paul Siebert,Paul,Siebert,,Paul Edward,,
SIEBS101,Sonny Siebert,Sonny,Siebert,,Wilfred Charles,,
SIEGK001,Kevin Siegrist,Kevin,Siegrist,,Kevin Ryan,,
SIERC001,Candy Sierra,Candy,Sierra,,Ulises,,Pizarro
SIERM001,Moises Sierra,Moises,Sierra,,Moises,,
SIERM002,Magneuris Sierra,Magneuris,Sierra,,Magneuris,,Sanchez
SIERR001,Ruben Sierra,Ruben,Sierra,,Ruben Angel,,Garcia
SIEVR101,Roy Sievers,Roy,Sievers,,Roy Edward,Squirrel,
SIKOB001,Brian Sikorski,Brian,Sikorski,,Brian Patrick,,
SILVC001,Carlos Silva,Carlos,Silva,,Carlos,,
SILVD001,Dave Silvestri,Dave,Silvestri,,David Joseph,,
SILVJ001,Jose Silva,Jose,Silva,,Jose Leonel,,
SILVL101,Luis Silverio,Luis,Silverio,,Luis Pascual,,Delmonte
SILVT101,Tom Silverio,Tom,Silverio,,Tomas Roberto,,Veloz
SILVW001,Walter Silva,Walter,Silva,,Walter,,
SIMAB001,Bill Simas,Bill,Simas,,William Anthony,,
SIMMA001,Andrelton Simmons,Andrelton,Simmons,,Andrelton A.,,
SIMMB001,Brian Simmons,Brian,Simmons,,Brian Lee,,
SIMMC101,Curt Simmons,Curt,Simmons,,Curtis Thomas,,
SIMMM001,Mike Simms,Mike,Simms,,Michael Howard,,
SIMMN001,Nelson Simmons,Nelson,Simmons,,Nelson Bernard,,
SIMMS001,Shae Simmons,Shae,Simmons,,Shae Austin,,
SIMMT001,Ted Simmons,Ted,Simmons,,Ted Lyle,,
SIMOA001,Alfredo Simon,Alfredo,Simon,,Alfredo,,Cabrera
SIMOD001,Doug Simons,Doug,Simons,,Douglas Eugene,,
SIMOJ001,Jason Simontacchi,Jason,Simontacchi,,Jason William,,
SIMOR001,Randall Simon,Randall,Simon,,Randall Carlito,,
SIMPA001,Allan Simpson,Allan,Simpson,,Larry Allan,,
SIMPD102,Dick Simpson,Dick,Simpson,,Richard Charles,,
SIMPJ101,Joe Simpson,Joe,Simpson,,Joe Allen,,
SIMPS101,Steve Simpson,Steve,Simpson,,Steven Edward,,
